"Year","Variation","conf.level95","Positive"
1900,-0.171,0.108,FALSE
1901,-0.162,0.109,FALSE
1902,-0.177,0.108,FALSE
1903,-0.199,0.104,FALSE
1904,-0.223,0.105,FALSE
1905,-0.241,0.107,FALSE
1906,-0.294,0.106,FALSE
1907,-0.312,0.105,FALSE
1908,-0.328,0.103,FALSE
1909,-0.281,0.101,FALSE
1910,-0.247,0.099,FALSE
1911,-0.243,0.097,FALSE
1912,-0.257,0.1,FALSE
1913,-0.268,0.1,FALSE
1914,-0.257,0.097,FALSE
1915,-0.249,0.095,FALSE
1916,-0.214,0.096,FALSE
1917,-0.201,0.096,FALSE
1918,-0.176,0.096,FALSE
1919,-0.182,0.097,FALSE
1920,-0.193,0.097,FALSE
1921,-0.167,0.098,FALSE
1922,-0.128,0.096,FALSE
1923,-0.075,0.097,FALSE
1924,-0.064,0.098,FALSE
1925,-0.065,0.1,FALSE
1926,-0.05,0.1,FALSE
1927,-0.02,0.099,FALSE
1928,-0.018,0.099,FALSE
1929,-0.026,0.1,FALSE
1930,-0.014,0.101,FALSE
1931,-0.047,0.098,FALSE
1932,-0.035,0.096,FALSE
1933,-0.017,0.093,FALSE
1934,0.02,0.092,TRUE
1935,0.053,0.089,TRUE
1936,0.063,0.085,TRUE
1937,0.048,0.081,TRUE
1938,0.073,0.079,TRUE
1939,0.113,0.076,TRUE
1940,0.113,0.072,TRUE
1941,0.134,0.071,TRUE
1942,0.134,0.069,TRUE
1943,0.127,0.07,TRUE
1944,0.111,0.068,TRUE
1945,0.072,0.066,TRUE
1946,0.035,0.066,TRUE
1947,0.042,0.064,TRUE
1948,0.045,0.063,TRUE
1949,0.013,0.062,TRUE
1950,0.01,0.058,TRUE
1951,-0.017,0.054,FALSE
1952,-0.04,0.047,FALSE
1953,-0.04,0.043,FALSE
1954,-0.032,0.038,FALSE
1955,-0.022,0.035,FALSE
1956,0.012,0.031,TRUE
1957,0.007,0.028,TRUE
1958,0.002,0.027,TRUE
1959,0.002,0.026,TRUE
1960,-0.019,0.026,FALSE
1961,-0.001,0.021,FALSE
1962,0.017,0.018,TRUE
1963,0.004,0.016,TRUE
1964,-0.028,0.018,FALSE
1965,-0.006,0.017,FALSE
1966,-0.024,0.017,FALSE
1967,-0.041,0.019,FALSE
1968,-0.025,0.02,FALSE
1969,-0.019,0.024,FALSE
1970,0.01,0.026,TRUE
1971,0.007,0.022,TRUE
1972,0.015,0.015,TRUE
1973,0.028,0.012,TRUE
1974,0.049,0.014,TRUE
1975,0.068,0.012,TRUE
1976,0.128,0.011,TRUE
1977,0.158,0.012,TRUE
1978,0.167,0.013,TRUE
1979,0.193,0.012,TRUE
1980,0.186,0.016,TRUE
1981,0.217,0.016,TRUE
1982,0.235,0.014,TRUE
1983,0.27,0.014,TRUE
1984,0.318,0.014,TRUE
1985,0.344,0.013,TRUE
1986,0.352,0.012,TRUE
1987,0.38,0.011,TRUE
1988,0.37,0.013,TRUE
1989,0.366,0.017,TRUE
1990,0.433,0.019,TRUE
1991,0.467,0.018,TRUE
1992,0.496,0.017,TRUE
1993,0.526,0.019,TRUE
1994,0.554,0.02,TRUE
1995,0.563,0.019,TRUE
1996,0.565,0.022,TRUE
1997,0.618,0.022,TRUE
1998,0.68,0.023,TRUE
1999,0.734,0.025,TRUE
2000,0.748,0.026,TRUE
